Read dnn fromVGG16.net
INPUT: 178608.0
LAYER:	(Activation, Weight, Operations)
Layer 0:	3211264.0		1728.0		86704128.0
Layer 1:	3211264.0		36864.0		1849688064.0
Layer 2:	802816.0		0.0		205520896.0
Layer 3:	1605632.0		73728.0		924844032.0
Layer 4:	1605632.0		147456.0		1849688064.0
Layer 5:	401408.0		0.0		205520896.0
Layer 6:	802816.0		294912.0		924844032.0
Layer 7:	802816.0		589824.0		1849688064.0
Layer 8:	802816.0		589824.0		1849688064.0
Layer 9:	200704.0		0.0		205520896.0
Layer 10:	401408.0		1179648.0		924844032.0
Layer 11:	401408.0		2359296.0		1849688064.0
Layer 12:	401408.0		2359296.0		1849688064.0
Layer 13:	100352.0		0.0		205520896.0
Layer 14:	100352.0		2359296.0		462422016.0
Layer 15:	100352.0		2359296.0		462422016.0
Layer 16:	100352.0		2359296.0		462422016.0
Layer 17:	25088.0		0.0		51380224.0
Layer 18:	4096.0		102760448.0		102760448.0
Layer 19:	4096.0		16777216.0		16777216.0
Layer 20:	1000.0		4096000.0		4096000.0
Total activation: 15087080.0items
Total weight: 138344128.0items
Total comp: 32687456256.0items
Max Activation3211264.0items
==========SINGLE-NODE===============
Not enough memory to store model
==========DATA PARALLELISM==========
Not enough memory to store model
==========hMODEL PARALLELISM==========
maxBatchPerNode: 8.0940475017
==========hhMODEL PARALLELISM==========
maxBatchPerNode: 8.0940475017
==========vMODEL PARALLELISM==========
Considering nodeNumber: 2
Not enough memory to store model
Considering nodeNumber: 4
Not enough memory to store model
Considering nodeNumber: 8
Not enough memory to store model
Considering nodeNumber: 16
Cannot split model
name	B	p	Mem (bytes)	Tcomp (s)	Tcomm(s)	Time(s)	Cost(min*Node)
hmodel	8.0	2.0	1524665088.0	2249.45935525	9274.541952	11524.0013073	386.0
hmodel	8.0	4.0	1247976832.0	1124.72967763	13914.332928	15039.0626056	1004.0
hmodel	8.0	8.0	1109632704.0	562.364838813	16236.748416	16799.1132548	2240.0
hmodel	8.0	16.0	1040460640.0	281.182419406	17400.47616	17681.6585794	4720.0
hmodel	8.0	32.0	1005874608.0	140.591209703	17984.860032	18125.4512417	9696.0
hmodel	8.0	64.0	988581592.0	70.2956048516	18279.571968	18349.8675729	19584.0
hhmodel-2	16.0	4.0	1524665088.0	1124.72967763	6408.1558144	7532.88549203	504.0
hhmodel-4	32.0	8.0	1524665088.0	562.364838813	3646.8191168	4209.18395561	568.0
hhmodel-8	64.0	16.0	1524665088.0	281.182419406	1934.1048608	2215.28728021	592.0
hhmodel-16	128.0	32.0	1524665088.0	140.591209703	994.731256	1135.3224657	608.0
hhmodel-32	256.0	64.0	1524665088.0	70.2956048516	504.2878344	574.583439252	640.0
hhmodel-2	16.0	8.0	1247976832.0	562.364838813	7842.6488832	8405.01372201	1128.0
hhmodel-4	32.0	16.0	1247976832.0	281.182419406	4142.7150464	4423.89746581	1184.0
hhmodel-8	64.0	32.0	1247976832.0	140.591209703	2126.7151744	2267.3063841	1216.0
hhmodel-16	128.0	64.0	1247976832.0	70.2956048516	1077.202	1147.49760485	1280.0
hhmodel-32	256.0	128.0	1247976832.0	35.1478024258	542.0646032	577.212405626	1280.0
hhmodel-2	16.0	16.0	1109632704.0	281.182419406	8561.1554176	8842.33783701	2368.0
hhmodel-4	32.0	32.0	1109632704.0	140.591209703	4391.2930112	4531.8842209	2432.0
hhmodel-8	64.0	64.0	1109632704.0	70.2956048516	2223.3353312	2293.63093605	2496.0
hhmodel-16	128.0	128.0	1109632704.0	35.1478024258	1118.594872	1153.74267443	2560.0
hhmodel-32	256.0	256.0	1109632704.0	17.5739012129	561.0317376	578.605638813	2560.0
hhmodel-2	16.0	32.0	1040460640.0	140.591209703	8921.6686848	9062.2598945	4864.0
hhmodel-4	32.0	64.0	1040460640.0	70.2956048516	4516.2119936	4586.50759845	4928.0
hhmodel-8	64.0	128.0	1040460640.0	35.1478024258	2271.9604096	2307.10821203	4992.0
hhmodel-16	128.0	256.0	1040460640.0	17.5739012129	1139.448808	1157.02270921	5120.0
hhmodel-32	256.0	512.0	1040460640.0	8.78695060645	570.5940548	579.381005406	5120.0
hhmodel-2	16.0	64.0	1005874608.0	70.2956048516	9103.1853184	9173.48092325	9792.0
hhmodel-4	32.0	128.0	1005874608.0	35.1478024258	4579.3014848	4614.44928723	9856.0
hhmodel-8	64.0	256.0	1005874608.0	17.5739012129	2296.5879488	2314.16185001	9984.0
hhmodel-16	128.0	512.0	1005874608.0	8.78695060645	1150.033276	1158.82022661	10240.0
hhmodel-32	256.0	1024.0	1005874608.0	4.39347530323	575.4539634	579.847438703	10240.0
hhmodel-2	16.0	128.0	988581592.0	35.1478024258	9195.2036352	9230.35143763	19712.0
hhmodel-4	32.0	256.0	988581592.0	17.5739012129	4611.4762304	4629.05013161	19968.0
hhmodel-8	64.0	512.0	988581592.0	8.78695060645	2309.2167184	2318.00366901	19968.0
hhmodel-16	128.0	1024.0	988581592.0	4.39347530323	1155.48301	1159.8764853	20480.0
hhmodel-32	256.0	2048.0	988581592.0	2.19673765161	577.9626677	580.159405352	20480.0
